Quel est l'objectif principal du cours d'Introduction au droit DROI-C-1001?,Initier les étudiants de première année aux notions et règles fondamentales du droit et à leurs applications.
Quelle approche du droit le cours d'Introduction au droit de l'ULB privilégie-t-il?,"Une approche pragmatique, considérant le droit positif tel qu'il est appliqué dans la pratique."
"Selon le syllabus, le droit n'est pas un système figé, mais le produit d'une _____ permanente.",lutte
Quelle est la sanction pour trois absences non justifiées aux séances de travaux pratiques (TP)?,Une note de 0/20 pour les travaux pratiques.
Quelle est la conséquence pour un étudiant qui est absent à plus de 2 séances des exercices de compétences langagières?,Une note d'absence pour l'ensemble de l'unité d'enseignement pour les sessions de janvier et de mai/juin.
Quelle est la différence fondamentale entre un État unitaire et un État fédéral?,"Dans un État unitaire les pouvoirs sont centraux, tandis que dans un État fédéral ils sont répartis entre l'État fédéral et les entités fédérées."
Que signifie le caractère territorial du droit pénal belge?,"La loi pénale belge s'applique sur le territoire belge pour toute infraction qui y est commise, quelle que soit la nationalité de l'auteur."
Citez une des trois exceptions au principe de territorialité du droit pénal belge.,"La compétence personnelle (active ou passive), la compétence réelle, ou la compétence universelle."
Quel est le rôle principal de la Constitution en ce qui concerne l'organisation des pouvoirs publics?,"Elle crée les institutions les plus importantes, fixe les règles de leur fonctionnement et distribue les pouvoirs entre elles."
Quel rang les normes constitutionnelles occupent-elles dans l'ordre juridique interne?,"Elles occupent le premier rang, caractérisées par leur primauté sur toutes les autres règles."
Quels sont les trois pouvoirs distincts de la division fonctionnelle de l'État moderne?,"Le pouvoir législatif, le pouvoir exécutif et le pouvoir judiciaire."
Qui détient le pouvoir exécutif dans l'État moderne?,Le chef de l’État ou son gouvernement.
Quelles sont les quatre conditions pour être éligible à la Chambre des représentants en Belgique?,"Être belge, être domicilié en Belgique, avoir 18 ans, et jouir de ses droits civils et politiques."
"Outre l'élaboration de la loi et le contrôle du gouvernement, quelle est une autre mission essentielle de la Chambre des représentants?","Voter le budget, approuver les comptes, réviser la Constitution, donner son assentiment aux traités, ou accorder la naturalisation."
De combien de sénateurs le Sénat belge se compose-t-il au total?,Le Sénat se compose de 60 sénateurs.
