"Selon Paulo Freire, quelle pratique éducative cherche à occulter la raison d'être des problèmes sociaux en enseignant les contenus ?",Une pratique éducative conservatrice.
"Dans la perspective de Paulo Freire, quel est l'objectif d'une pratique éducative progressiste en enseignant les contenus ?",Mettre au jour la raison d'être des problèmes sociaux pour montrer que le monde peut être changé.
Quel concept de Paulo Freire décrit le passage d'une conscience naïve à une conscience critique permettant une analyse structurelle des rapports de force ?,La conscientisation.
"Quel type de pédagogie est caractérisé par une transmission descendante et passive du savoir, visant à maintenir l'ordre établi ?",La pédagogie bancaire.
Quelle est la finalité du 'dialogue' dans la pensée de Paulo Freire ?,La construction collective de la culture et de l'histoire par une relation horizontale de réciprocité.
"En Belgique francophone, quel texte législatif de 1976 a reconnu d'utilité publique la 'libre critique associative de l'ordre établi' ?",Le Décret Fondamental sur l'éducation permanente.
Quel était l'objectif principal de l'Arrêté Jules Destrée de 1921 concernant le 'loisir ouvrier' ?,"Encadrer le temps libre des ouvriers pour éviter l'oisiveté ou la radicalisation, en interdisant toute propagande politique ou religieuse."
"La réforme de l'éducation permanente de 2018, portée par Alda Greoli, visait à recentrer le secteur sur quels fondamentaux ?",L'analyse critique de la société et la participation active des publics.
Quelle critique majeure a été adressée au décret de 2003 sur l'éducation permanente en Belgique ?,Sa dérive technocratique et l'enfermement des associations dans des logiques de production quantitative.
"Quelle coalition gouvernementale en Belgique, surnommée 'Arizona', est perçue par le secteur associatif comme un 'naufrage social' ?","La coalition 'Arizona' (MR, Les Engagés, N-VA, CD&V, Vooruit)."
Quelle mesure du gouvernement Arizona concernant les allocations d'insertion pour les jeunes a été particulièrement critiquée ?,La limitation de la durée maximale de l'allocation à une année.
Comment l'accord de gouvernement Arizona modifie-t-il la notion de travail de nuit dans le secteur de la distribution ?,"Le travail de nuit commence à partir de minuit au lieu de 20h, supprimant les primes pour les heures entre 20h et minuit pour les nouveaux contrats."
Quel terme désigne la fracture sociale et numérique liée au manque de compétences ou à l'impossibilité d'utiliser les outils numériques ?,L'illectronisme.
"Selon le rapport 'ILLECTRONISME EN EUROPE', l'illectronisme peut favoriser quel phénomène social chez les personnes âgées ?",L'isolement social.
Quel est l'objectif de la stratégie européenne '2030 Digital Decade' concernant les compétences numériques de base ?,Atteindre 80% des habitants de 16 à 75 ans en maîtrise des compétences numériques de base.
Que sont les EPN (Espaces Publics Numériques) en Belgique ?,"Des espaces offrant des ordinateurs, de l'accompagnement et des ateliers sur l'utilisation du numérique pour lutter contre la fracture numérique."
"Selon le rapport 'ILLECTRONISME EN EUROPE', quel public est plus susceptible que les autres de faire partie des 'oubliés du numérique' à Bruxelles ?","Les chercheurs d'emploi, jeunes, seniors, personnes en situation de handicap, précarisés, et les femmes."
"En Belgique, selon les données de 2021, quel est l'écart en points de pourcentage entre hommes et femmes pour la création de fichiers numériques ?",Un écart de 5 points de pourcentage (48 % des hommes contre 43 % des femmes).
Quels sont les trois axes du Plan d’Appropriation Numérique de la Région Bruxelles-Capitale ?,"Sensibiliser, Fédérer, et Accompagner."
"Selon l'étude 'Jeunesse et démocratie', comment la participation politique des jeunes a-t-elle évolué ?","Il y a un recul des formes traditionnelles (vote, partis) au profit d'un militantisme centré sur une cause précise, plus personnalisé et informel."
"Dans la plupart des pays de l'OCDE, comment se compare la participation électorale des jeunes à celle des générations plus âgées ?",La participation électorale des jeunes est inférieure à celle des générations plus âgées.
Quel pays européen a abaissé l'âge du droit de vote à 16 ans en 2007 ?,L'Autriche.
"D'après l'étude 'L'ÉDUCATION EN QUESTION', quel pourcentage de jeunes estime que les thématiques environnementales n'ont pas été suffisamment abordées dans leur parcours scolaire ?","74% (60% pas suffisamment, 14% pas du tout)."
Quelle est la principale raison mentionnée par les jeunes pour justifier leur préoccupation face aux enjeux environnementaux ?,La volonté d’agir pour leur avenir (62%).
"Selon l'enquête du Forum des Jeunes, quels cours existants seraient les plus adéquats pour intégrer l'Éducation relative à l'Environnement (ErE) ?",La géographie (59%) et le cours de citoyenneté (58%).
Quel est le slogan qui résume l'approche de l'Éducation à la Citoyenneté Mondiale et Solidaire (ECMS) en termes d'action ?,"Penser global, agir local."
"Dans la pédagogie de l'ECMS, quel est le premier moment du processus de conscientisation ?",Partir du vécu des participants pour identifier des événements qui manifestent des inégalités systémiques.
Quel principe est central dans la posture de l'animateur en éducation permanente pour ne pas reproduire les systèmes de domination ?,"Le principe de l'égalité des savoirs, où chacun est expert de sa réalité."
"L'éducation émancipatrice vise à garantir l'accès à la connaissance, à la science, à la technologie et à la culture, ainsi qu'à la formation pour _____.","les droits de l'homme, la paix et la démocratie"
"Selon Boaventura de Sousa Santos, la lutte pour l'égalité ne peut être séparée de la lutte pour _____.",la reconnaissance de la différence
Quel est l'enjeu principal d'une pédagogie féministe dans l'éducation ?,"La construction d'une citoyenneté active, participative et transformatrice, luttant contre la violence et visant l'égalité."
Qu'est-ce que le 'Sumak Kawsay' (ou 'Suma Qamaña') ?,"Une vision du monde ancestrale des Andes (quechua/aymara) signifiant 'la vie en plénitude' ou 'Vivre Bien', devenue une proposition politique en Équateur et en Bolivie."
"Quel est le principal défi pour les jeunes entrant sur le marché du travail aujourd'hui, même pour les plus qualifiés ?","La précarité de l'emploi, avec des contrats à durée déterminée, du travail intérimaire et des stages."
"Selon le PTB, quelle est la conséquence du maintien de la loi sur le blocage des salaires pour les jeunes ?","Ils sont les premiers à en subir les conséquences car leur salaire est le plus bas en début de carrière, ce qui freine leur autonomie."
"Le réseau associatif de Solidaris, qui inclut Soralia et Sofélia, dénonce quelle vision dans l'accord du gouvernement Arizona ?","Une vision ultralibérale, créatrice de souffrances, d'inégalités et d'exclusion."
"Quelle est la mission de Soralia, membre du réseau Solidaris ?",C'est un mouvement mutualiste féministe d'éducation permanente qui milite pour l'égalité entre les femmes et les hommes.
