Qu'est-ce que l'Économie Contributive Provisionnée (ECP) ?,Un modèle économique permettant de valoriser les compétences des citoyens précaires sans leur faire perdre leurs droits sociaux.
Quel est le but principal de l'ECP face au système social actuel ?,Répondre au « piège institutionnel » qui décourage l'activité des personnes précarisées.
Le concept de l'ECP s'inscrit dans le contexte des réformes de quel gouvernement belge ?,Le gouvernement Arizona ($2025$-$2029$).
Quels sont les cinq partis qui forment la coalition Arizona ?,"La N-VA, le MR, Les Engagés, Vooruit et le CD&V."
Qui est le Premier ministre pressenti du gouvernement Arizona ?,Bart De Wever.
Quel est l'objectif de taux d'emploi du gouvernement Arizona pour $2029$ ?,$80\%$.
Quel montant d'assainissement budgétaire le gouvernement Arizona vise-t-il d'ici $2029$ ?,$18$ milliards d'euros.
Quel mécanisme de l'ECP sépare l'acte de contribution de la perception immédiate du revenu ?,Le provisionnement différé.
Où est bloquée la valeur monétaire des actions citoyennes dans le modèle ECP ?,Dans un Fonds de Contribution Citoyenne.
Pourquoi les sommes accumulées en ECP ne réduisent-elles pas les allocations sociales ?,Elles ne sont pas considérées comme un revenu tant qu'elles ne sont pas encaissées par le contributeur.
"Pour garantir la sécurité juridique de l'ECP, quelle procédure doit être entamée auprès du SPF Finances ?","Une demande de décision anticipée, appelée « ruling fiscal »."
Quel organisme belge est compétent pour délivrer un ruling fiscal ?,Le Service des Décisions Anticipées (SDA).
Quelle est la durée minimale de validité d'une décision du SDA (ruling fiscal) ?,$5$ ans.
Sur quelle loi de $2005$ l'ECP s'appuie-t-elle pour garantir l'absence de lien de subordination ?,La loi du $3$ juillet $2005$ relative aux droits des volontaires.
Quel est le coût d'une procédure de ruling auprès du SDA ?,La procédure est gratuite et confidentielle.
Combien de personnes sont estimées en situation d'inactivité contrainte en Belgique selon l'ECP ?,"Près de $978\,000$ personnes."
Quel est le coût annuel estimé de l'inactivité pour l'État belge ?,Entre $21$ et $24$ milliards d'euros.
Comment l'ECP appelle-t-elle le fait que le système actuel pénalise financièrement l'initiative ?,Le piège institutionnel.
Quel est le nom du projet pilote de l'ECP axé sur la santé mentale ?,L'Agence de Renseignement Citoyenne (ARC).
Quel est le budget nécessaire pour lancer le projet pilote ARC ?,"$24\,000$ euros."
Que signifie l'acronyme BIM dans le système de santé belge ?,Bénéficiaire de l'Intervention Majorée.
Quel est l'avantage principal du statut BIM pour les soins de santé ?,Un remboursement plus important des frais médicaux et le tiers payant social obligatoire.
Comment l'ECP assure-t-elle le maintien du statut BIM pour ses participants ?,En transformant le revenu immédiat en un capital différé non comptabilisé par l'administration sociale.
Quel protocole de données décentralisé est utilisé par l'ECP pour garantir la souveraineté des citoyens ?,Le protocole Solid.
Qui est l'inventeur du World Wide Web à l'origine du projet Solid ?,Tim Berners-Lee.
Qu'est-ce qu'un « Pod » dans le contexte du protocole Solid ?,Un espace de stockage de données personnelles en ligne appartenant à l'utilisateur.
Quel standard est utilisé pour l'interopérabilité des services sociaux et de santé dans l'ECP ?,Le standard FHIR ($HL7$).
Comment se nomme la plateforme technique qui sert de moteur à l'ECP ?,NYXO.
Quel est le coût d'utilisation de la plateforme NYXO pour les citoyens ?,Elle est gratuite pour les citoyens.
Quel mécanisme démocratique Auderghem utilise-t-elle pour l'allocation de son budget partagé ?,Le vote quadratique.
Quel est le montant du budget partagé géré par la commune d'Auderghem ?,"Plus de $500\,000$ euros."
Quelle technique est utilisée par NYXO pour archiver les flux de données publiques de manière inaltérable ?,Le Git Scraping.
Quel est le seuil de pauvreté pour un isolé en Belgique en $2024$ ?,"$1\,522$ euros net par mois."
Quel pourcentage de la population belge est considéré comme étant à risque de pauvreté ?,"$18,6\%$."
Quel est le nombre approximatif de postes vacants en Belgique selon les données de $2024$ ?,"$172\,000$ postes."
Quel est le principe de la « vérité administrative » dans l'ECP ?,Produire des données citoyennes vérifiables pour influencer les décisions locales.
Pourquoi l'ECP garantit-elle une liberté totale d'engagement (pas d'horaires imposés) ?,Pour éviter toute requalification juridique en contrat de travail salarié.
Quel est l'un des risques majeurs identifiés pour les chômeurs participant à l'ECP ?,Le risque que l'activité ne soit pas reconnue comme une recherche active d'emploi.
Quelle phase de la feuille de route ECP prévoit la création d'un consortium formel en $2026$ ?,La Phase $2$ (Coalition).
